description,category,source_bank,transaction_type
PYMNT NETFLIX.COM,hiburan,BSI,debit
PYMNT GOFOOD,makanan,BNI,debit
DB EDC HAPPY PUPPY KTV,hiburan,BRI,debit
QRIS PMT FOTOKOPI PRINT DPS,lainnya,Danamon,debit
TRSF E-BANKING DB GRABFOOD,makanan,Danamon,debit
BIAYA BEROBAT RS ADVENT,kesehatan,BNI,debit
DEBIT EDC LRT JABODEBEK DPS,transport,Danamon,debit
DB MYREPUBLIC,tagihan,Mandiri,debit
DEBIT EDC BIMBEL ONLINE YK,pendidikan,BCA,debit
QRIS PMT BARBERSHOP BPN,lainnya,BRI,debit
TRF BULANAN KE TONO HARTONO,transfer_keluarga,Mandiri,transfer
TRSF E-BANKING DB TIKTOK SHOP,belanja,BRI,debit
NP DUFAN SOL,hiburan,BRI,debit
BYR VIA M-BANKING TAGIHAN KARTU KREDIT MANDIRI,tagihan,Danamon,debit
TRSF E-BANKING DB BIAYA UJIAN NASIONAL,pendidikan,BCA,debit
BYR BPJS KESEHATAN 6943051486,tagihan,Danamon,debit
DEBIT EDC WATERBOM BTM,hiburan,BCA,debit
QRIS PMT BIOSKOP CGV CRB,hiburan,Mandiri,debit
PYMNT GRAB,transport,BRI,debit
PATUNGAN KADO DEWI LESTARI,transfer_sosial,Mandiri,transfer
DEBIT EDC BIAYA KULIAH SWASTA LPG,pendidikan,BRI,debit
BAYAR  TAGIHAN INDOSAT OOREDOO,tagihan,BCA,debit
QRIS PMT ANYTIME FITNESS BPN,hiburan,BNI,debit
DEBIT EDC TOGA MAS SBY,pendidikan,Danamon,debit
PEMBAYARAN PDAM TIRTA BHAGASASI 17360621,tagihan,BSI,debit
TRSF E-BANKING DB UKT SEMESTER GENAP,pendidikan,CIMB,debit
NP AQIQAH JKT,lainnya,BRI,debit
IPY PERIPLUS BOOKSTORE,pendidikan,Mandiri,debit
TRSF E-BANKINGDB KURSUS KOMPUTER,pendidikan,Mandiri,debit
DB FLAZZ TOPUP,transport,BRI,debit
TRF 139124 BNI,tidak_diketahui,Danamon,transfer
IPY LES PRIVAT,pendidikan,BNI,debit
E-BANKING DB 6669184950 KIRIMAN OKI PRATAMA,transfer_keluarga,BRI,transfer
DB EDC AHASS HONDA,transport,BSI,debit
TRF BULANAN KE DEWI LESTARI,transfer_keluarga,BSI,transfer
PYMNT PDAM KOTA 716921,tagihan,BNI,debit
PATUNGAN KADO SARI INDAH,transfer_sosial,Mandiri,transfer
NP GIANT HYPERMARKET YK,belanja,BRI,debit
NP AMAZONE SOL,hiburan,BRI,debit
PEMBAYARAN PDAM TIRTA JAYA 980266,tagihan,BCA,debit
DB TRAVELOKA RIDE,transport,Permata,debit
RETAIL ADIDAS STORE DPS,belanja,BSI,debit
DB GRABFOOD FOOD,makanan,CIMB,debit
PEMBAYARAN RAWAT RS PONDOK INDAH,kesehatan,Danamon,debit
