persona_id,age,employment_type,city_tier,total_income,monthly_expenses,expense_to_income_ratio,monthly_cashflow,savings_rate,current_savings,has_emergency_fund,emergency_fund_months,has_kpr,has_vehicle_credit,pinjol_active,total_debt,debt_to_income_ratio,credit_card_utilization,paylater_usage_history,financial_literacy_score,impulse_spending_tendency,item_price,available_cash,paylater_interest_rate,paylater_tenor_months,paylater_monthly_burden,item_to_income_ratio,slik_ojk_status,label_whatif
2,30,not_working,tier_2,1098658.4841970366,905000.0,0.8237,193658.4841970366,0.1763,689000.0,0,0.8,0,0,0,0.0,0.0,0.2204,good,13.0,low,1988000.0,226000.0,0.036,6,403000.0,1.8095,Kol-1,dont_buy
9,35,not_working,tier_2,1359940.4067363206,1227000.0,0.9022,132940.40673632058,0.0978,865000.0,0,0.7,0,0,0,0.0,0.0,0.3292,good,35.0,high,2869000.0,270000.0,0.024,12,308000.0,2.1097,Kol-1,buy_careful
1,21,not_working,tier_2,1439498.9415641893,1345000.0,0.9344,94498.94156418927,0.0656,754000.0,0,0.6,0,0,1,1587948.5872574355,1.1031,0.2733,problematic,45.0,low,951000.0,447000.0,0.035,12,113000.0,0.6606,Kol-3,dont_buy
3,24,permanent,tier_1,12171000.0,8490000.0,0.6976,3681000.0,0.3024,29667000.0,1,3.5,0,0,2,7489758.0532626845,0.6154,0.5352,problematic,50.0,medium,3570000.0,8647000.0,0.039,6,734000.0,0.2933,Kol-3,dont_buy
6,40,contract,tier_2,5594000.0,4442000.0,0.7941,1152000.0,0.2059,7229000.0,0,1.6,0,1,0,24546156.168956704,4.3879,0.0,never,53.0,high,599000.0,1001000.0,0.026,3,215000.0,0.1071,Kol-1,buy_careful
7,40,contract,tier_1,5610000.0,4388000.0,0.7822,1222000.0,0.2178,5113000.0,0,1.2,0,0,0,0.0,0.0,0.0,good,22.0,low,4674000.0,513000.0,0.027,6,905000.0,0.8332,Kol-1,just_buy
4,19,contract,tier_2,4249000.0,3066000.0,0.7216,1183000.0,0.2784,6360000.0,0,2.1,0,1,2,28999973.07952156,6.8251,0.3096,problematic,23.0,low,344000.0,1522000.0,0.038,6,70000.0,0.081,Kol-4,dont_buy
2,30,contract,tier_2,5887000.0,4749000.0,0.8067,1138000.0,0.1933,3196000.0,0,0.7,0,0,0,0.0,0.0,0.2633,never,55.0,high,12654000.0,840000.0,0.024,3,4522000.0,2.1495,Kol-1,dont_buy
5,35,permanent,tier_2,4459000.0,3676000.0,0.8244,783000.0,0.1756,4594000.0,0,1.2,0,0,1,2023199.0531507754,0.4537,0.1727,problematic,72.0,low,4640000.0,1238000.0,0.027,12,512000.0,1.0406,Kol-3,dont_buy
9,36,freelance,tier_2,10148000.0,7448000.0,0.7339,2700000.0,0.2661,26604000.0,1,3.6,0,0,0,0.0,0.0,0.0,good,90.0,high,2494000.0,8625000.0,0.04,12,308000.0,0.2458,Kol-1,buy_careful
10,29,permanent,tier_1,12516000.0,8291000.0,0.6624,4225000.0,0.3376,44330000.0,1,5.3,0,0,0,0.0,0.0,0.1236,good,65.0,medium,3259000.0,8761000.0,0.034,6,654000.0,0.2604,Kol-1,just_buy
9,35,freelance,tier_1,14677000.0,8364000.0,0.5699,6313000.0,0.4301,68401000.0,1,8.2,0,1,0,23291474.502532348,1.5869,0.0,good,48.0,medium,1476000.0,16022000.0,0.03,3,536000.0,0.1006,Kol-1,just_buy
8,26,not_working,tier_2,1070061.170089365,872000.0,0.8149,198061.17008936498,0.1851,1614000.0,0,1.9,0,0,1,2554988.9570912104,2.3877,0.0,problematic,57.0,medium,8230000.0,815000.0,0.037,1,8535000.0,7.6911,Kol-5,dont_buy
2,24,permanent,tier_2,4569000.0,3257000.0,0.7128,1312000.0,0.2872,7830000.0,0,2.4,0,0,0,0.0,0.0,0.0,good,60.0,medium,826000.0,4627000.0,0.037,3,306000.0,0.1808,Kol-1,just_buy
1,19,permanent,tier_3,3209000.0,2320000.0,0.723,889000.0,0.277,6421000.0,0,2.8,0,1,0,24343357.137285,7.586,0.0,good,88.0,medium,1171000.0,3195000.0,0.025,12,127000.0,0.3649,Kol-2,buy_careful
5,34,permanent,tier_1,5993000.0,4657000.0,0.7771,1336000.0,0.2229,11870000.0,0,2.5,0,0,0,0.0,0.0,0.0,good,80.0,low,2140000.0,4254000.0,0.033,1,2211000.0,0.3571,Kol-1,dont_buy
4,31,contract,tier_1,7820000.0,5392000.0,0.6895,2428000.0,0.3105,5205000.0,0,1.0,0,0,0,0.0,0.0,0.0,never,59.0,medium,417000.0,1650000.0,0.028,3,151000.0,0.0533,Kol-1,just_buy
8,60,freelance,tier_1,6741000.0,5327000.0,0.7902,1414000.0,0.2098,10455000.0,0,2.0,0,0,1,3832754.791375502,0.5686,0.0,good,64.0,high,4303000.0,1717000.0,0.036,6,872000.0,0.6383,Kol-1,buy_careful
4,59,permanent,tier_3,4735000.0,3481000.0,0.7352,1254000.0,0.2648,3378000.0,0,1.0,0,1,0,25245101.60124535,5.3316,0.0,never,49.0,high,328000.0,1515000.0,0.033,1,339000.0,0.0693,Kol-1,buy_careful
3,25,contract,tier_3,3361000.0,2609000.0,0.7763,752000.0,0.2237,5779000.0,0,2.2,0,0,0,0.0,0.0,0.0,good,45.0,low,997000.0,2542000.0,0.035,6,201000.0,0.2966,Kol-1,just_buy
